"scenario_id","abs_bias_new","mse_new","rmse_new","abs_bias_ref","mse_ref","rmse_ref","method_new","method_ref","abs_bias_reduction","mse_reduction","rel_mse","block"
126,0.0678145948063443,0.0197431218567157,0.140510219758976,0.0422838790611401,0.00661978668575223,0.0813620715429015,"ipcw_x","ipcw_marg",-0.0255307157452042,-0.0131233351709634,2.98244079362992,"B_covariate_dependent"
126,0.020884572645506,0.00489901011223253,0.0699929290159551,0.0422220301952042,0.00661475862539573,0.0813311663840851,"scap_x_l050","trad",0.0213374575496982,0.0017157485131632,0.74061812224319,"B_covariate_dependent"
127,0.00137684260317487,0.00627401281165457,0.079208666266101,0.00375089544924801,0.00631569066695004,0.0794713197760679,"scap_x_l050","scap_marg_l050",0.00237405284607313,4.16778552954676e-05,0.993400903005974,"B_covariate_dependent"
127,0.0010819984446,0.00822709262778868,0.0907033220328158,0.00872561720460123,0.00670090362031271,0.0818590472722027,"ps_x_spline","ps_marg_logit",0.00764361876000124,-0.00152618900747598,1.22775868658215,"B_covariate_dependent"
127,0.00137684260317487,0.00627401281165457,0.079208666266101,0.0185792499158878,0.00728358735036792,0.0853439356390829,"scap_x_l050","trad",0.017202407312713,0.00100957453871335,0.861390481070794,"B_covariate_dependent"
127,0.0739417987541772,0.0370757034555156,0.192550521826132,0.0186297910347238,0.00728599287675882,0.0853580276058369,"ipcw_x","ipcw_marg",-0.0553120077194534,-0.0297897105787568,5.08862746404561,"B_covariate_dependent"
128,0.041512998171821,0.012086866962685,0.10994028816901,0.0269647543556392,0.00985932295156589,0.0992941234493054,"ps_x_spline","ps_marg_logit",-0.0145482438161818,-0.00222754401111906,1.22593275644402,"B_covariate_dependent"
128,0.0396659306396132,0.0099227545302936,0.0996130238989541,0.0586528382474956,0.0125657990159519,0.112097274792708,"scap_x_l050","trad",0.0189869076078824,0.00264304448565828,0.789663635213088,"B_covariate_dependent"
128,0.0396659306396132,0.0099227545302936,0.0996130238989541,0.0380376652150751,0.00982431168696699,0.0991176658672257,"scap_x_l050","scap_marg_l050",-0.00162826542453808,-9.84428433266054e-05,1.01002032981682,"B_covariate_dependent"
128,0.000466566131793835,0.0308101668223729,0.175528250781385,0.0587001407175719,0.0125725360241197,0.112127320596364,"ipcw_x","ipcw_marg",0.058233574585778,-0.0182376307982531,2.45059284485367,"B_covariate_dependent"
129,0.0104120542611882,0.000805587057688488,0.0283828655651343,0.0333305823143453,0.00186392200983263,0.0431731630742135,"ps_x_spline","ps_marg_logit",0.0229185280531571,0.00105833495214415,0.432199981243219,"B_covariate_dependent"
129,0.0106811037349843,0.000761956856479715,0.0276035660102045,0.0128002903971066,0.000820566762084816,0.0286455365124275,"scap_x_l050","scap_marg_l050",0.00211918666212239,5.86099056051012e-05,0.928573873189561,"B_covariate_dependent"
129,0.00195877399378942,0.000720302063566998,0.0268384437620179,0.000174576908373826,0.000638907249350269,0.025276614673454,"ipcw_x","ipcw_marg",-0.0017841970854156,-8.13948142167291e-05,1.12739691762694,"B_covariate_dependent"
